firstname,firstname_length,proba_man,proba_female,total
julianne,8,0.0,100.0,1656.0
fatimata,8,0.0,100.0,1637.0
vivienne,8,0.0,100.0,1615.0
annelise,8,0.0,100.0,1608.0
vivianne,8,0.0,100.0,1590.0
isabella,8,0.0,100.0,1562.0
theodora,8,0.0,100.0,1561.0
theotime,8,95.11,4.89,1553.0
abdullah,8,100.0,0.0,1546.0
kristell,8,0.0,100.0,1546.0
ludmilla,8,0.0,100.0,1541.0
manuelle,8,0.0,100.0,1538.0
athanase,8,84.99,15.01,1526.0
anouchka,8,0.0,100.0,1525.0
kadiatou,8,0.0,100.0,1522.0
lancelot,8,100.0,0.0,1511.0
prudence,8,0.0,100.0,1500.0
angelica,8,0.0,100.0,1499.0
charlize,8,0.0,100.0,1467.0
azzedine,8,100.0,0.0,1465.0
jean max,8,100.0,0.0,1460.0
boubacar,8,100.0,0.0,1451.0
joceline,8,0.0,100.0,1439.0
gervaise,8,0.0,100.0,1426.0
giuliana,8,0.0,100.0,1420.0
lauranne,8,0.0,100.0,1405.0
ezechiel,8,100.0,0.0,1386.0
baudouin,8,100.0,0.0,1384.0
robinson,8,100.0,0.0,1384.0
georgine,8,0.0,100.0,1381.0
eustache,8,79.78,20.22,1370.0
ollivier,8,100.0,0.0,1362.0
philemon,8,100.0,0.0,1335.0
muhammad,8,100.0,0.0,1331.0
malaurie,8,0.0,100.0,1319.0
typhanie,8,0.0,100.0,1319.0
carolina,8,0.0,100.0,1318.0
ibtissam,8,0.0,100.0,1303.0
geoffray,8,100.0,0.0,1302.0
katarina,8,0.0,100.0,1282.0
sylvanie,8,0.0,100.0,1281.0
carolane,8,0.0,100.0,1265.0
marilene,8,0.0,100.0,1253.0
rigobert,8,87.93,12.07,1251.0
anthonin,8,100.0,0.0,1246.0
melchior,8,100.0,0.0,1230.0
sandrina,8,0.0,100.0,1224.0
catalina,8,0.0,100.0,1221.0
alassane,8,100.0,0.0,1219.0
godefroy,8,92.53,7.47,1219.0
pierrine,8,0.0,100.0,1208.0
mayssane,8,0.0,100.0,1202.0
herminie,8,0.0,100.0,1200.0
frederik,8,100.0,0.0,1190.0
boniface,8,81.63,18.37,1187.0
salimata,8,0.0,100.0,1184.0
cleophee,8,0.0,100.0,1183.0
marianna,8,0.0,100.0,1175.0
castille,8,0.0,100.0,1173.0
berenger,8,100.0,0.0,1171.0
messaoud,8,100.0,0.0,1168.0
henrique,8,100.0,0.0,1167.0
elfriede,8,0.0,100.0,1163.0
suleyman,8,100.0,0.0,1141.0
melusine,8,0.0,100.0,1134.0
saturnin,8,89.59,10.41,1134.0
jeromine,8,0.0,100.0,1130.0
sosthene,8,83.58,16.42,1127.0
cannelle,8,0.0,100.0,1120.0
guiseppe,8,100.0,0.0,1107.0
jeoffrey,8,100.0,0.0,1094.0
veronica,8,0.0,100.0,1094.0
collette,8,0.0,100.0,1087.0
sophiane,8,86.48,13.52,1087.0
giovanny,8,100.0,0.0,1086.0
meredith,8,0.0,100.0,1047.0
kristina,8,0.0,100.0,1037.0
fernanda,8,0.0,100.0,1034.0
gabriele,8,37.06,62.94,1028.0
moisette,8,0.0,100.0,1028.0
domenico,8,100.0,0.0,1020.0
scarlett,8,0.0,100.0,1015.0
ladislas,8,97.33,2.67,1011.0
radouane,8,100.0,0.0,1000.0
jacques,7,99.97,0.03,482952.0
bernard,7,99.98,0.02,469361.0
georges,7,99.85,0.15,405493.0
nicolas,7,99.93,0.07,405392.0
monique,7,0.11,99.89,400202.0
patrick,7,99.99,0.01,395126.0
maurice,7,99.83,0.17,337663.0
laurent,7,99.97,0.03,328583.0
martine,7,0.03,99.97,320269.0
suzanne,7,0.03,99.97,289928.0
thierry,7,99.98,0.02,289629.0
camille,7,27.47,72.53,282947.0
olivier,7,99.97,0.03,280172.0
antoine,7,99.88,0.12,279739.0
raymond,7,99.94,0.06,272963.0
valerie,7,0.09,99.91,253418.0
charles,7,99.9,0.1,241804.0
vincent,7,99.84,0.16,232729.0
chantal,7,0.14,99.86,232533.0
gabriel,7,99.92,0.08,188469.0
aurelie,7,0.05,99.95,182818.0
michele,7,0.19,99.81,180384.0
gilbert,7,99.94,0.06,180214.0
clement,7,99.95,0.05,176847.0
therese,7,0.11,99.89,175895.0
colette,7,0.08,99.92,174776.0
anthony,7,100.0,0.0,173412.0
francis,7,99.99,0.01,166364.0
corinne,7,0.0,100.0,162855.0
pauline,7,0.0,100.0,157579.0
josette,7,0.0,100.0,154126.0
mathieu,7,99.88,0.12,152269.0
raphael,7,99.86,0.14,151695.0
